record_id,target,url,title,platform,category,evidence_class,evidence,confidence,source_reliability,release_date,archive_url,relationship,in_repo,last_checked
ZP26-055,A,https://archive.org/details/arrhythnia-discography,"(Label) arrhythNia Discography (Internet Archive item, discography-archive collection)",Internet Archive,archive/label_discography_item,verified_structured,Archive.org API (fetched 2026-09-05): item matches quoted 'Zazie Productions' full-text search; description is the arrhythNia label catalog (aNr01-aNr197 range) in which the artist's aNr124 split appears; 46 downloads.,85,very_high,,https://archive.org/details/arrhythnia-discography,Label-discography archive tying ZP26-006/033 into the arrhythNia catalog; exact string located by full-text index within the item.,False,2026-09-05
ZP26-056,A,https://archive.org/details/neural_dynamics_simulation_by_cascadingforest26294535,"NEURAL DYNAMICS SIMULATION - Unfinished Build (v0.7.3a, Zazie Productions, 2022) (Internet Archive item)",Internet Archive,archive/software_item,verified_structured,"Archive.org API (fetched 2026-09-05): title contains 'Zazie Productions'; description describes VIRELAXIS neuro-simulation engine fragment, 'PRION/HERMES' project, Codex Build v0.7.3a.",88,very_high,2022,https://archive.org/details/neural_dynamics_simulation_by_cascadingforest26294535,Creative-coding artifact (open_source_software collection).,False,2026-09-05
ZP26-057,A,https://archive.org/details/data-conversation-01-17675,"Zazie Productions Mystery File Dump: Vol 1 (Internet Archive item, opensource_audio)",Internet Archive,archive/file_dump_item,verified_structured,Archive.org API (fetched 2026-09-05): title contains 'Zazie Productions'; description: 'To initiate a deliberate and erratic controlled leak of the Pomegranate Vortex (3) archive-a 1.07 TB stash of uncurated Zazie Productions material...' (17 downloads).,88,very_high,,https://archive.org/details/data-conversation-01-17675,Artist-concept 'file dump' item; sister item ZP26-058.,False,2026-09-05
ZP26-058,A,https://archive.org/details/liquid-phosphorus-4-33,"Zazie Productions Mystery File Dump: Vol 2 (Internet Archive item, opensource_audio)",Internet Archive,archive/file_dump_item,verified_structured,Archive.org API (fetched 2026-09-05): title contains 'Zazie Productions'; same 'Pomegranate Vortex (3)' description as Vol 1 (50 downloads).,88,very_high,,https://archive.org/details/liquid-phosphorus-4-33,Second volume of the 'Mystery File Dump' series.,False,2026-09-05
ZP26-059,A,https://archive.org/details/img-1941_202505,THE SEVENTH SCREEN IS DREAMING IN FRACTALS: A Zazie Productions Archive of Visual Ontoviruses... (Internet Archive item),Internet Archive,archive/visual_artifact_item,verified_structured,"Archive.org API (fetched 2026-09-05): title contains 'Zazie Productions'; description: 'A lost exo-visual transmission from Zazie Productions, THE SEVENTH SCREEN is an unclassifiable folk-psycho-cybernetic reliquary...' (45 downloads).",88,very_high,2020-02-01,https://archive.org/details/img-1941_202505,Net-art/PDF artifact in the artist's visual-ontology series.,False,2026-09-05
ZP26-060,A,https://archive.org/details/5-bb-30-b-4-b-a-4-a-0-4-fff-94-cc-22-f-0-fceda-667,"https://www.yyyyyyy.info (lost animation sequence) (Internet Archive item, opensource_movies)",Internet Archive,archive/film_item,verified_structured,Archive.org API (fetched 2026-09-05): title is the URL; description: 'Lost animation sequence from https://www.yyyyyyy.info/ re-mastered from Zazie Productions' (21 downloads).,88,very_high,,https://archive.org/details/5-bb-30-b-4-b-a-4-a-0-4-fff-94-cc-22-f-0-fceda-667,Preservation of the yyyyyyyy.info/ www.yyyyyyy.info net-art artifact (register entry 110 documents the preservation work).,False,2026-09-05
ZP26-061,A,https://archive.org/details/experiments-on-the-witch-house,V/A - Experiments on the Witch House (Internet Archive netlabel item),Internet Archive,archive/music_compilation_item,verified_structured,"Archive.org API (fetched 2026-09-05): item matches quoted 'Zazie Productions' full-text search (netlabels + dawn-of-darkness collections). Per-file metadata reviewed for tracks 1-6 (Messerschmitt, Fox Shade, Emori, pestzone, KΔDΔBRΔ, SOKUSHINBUTSU PROJECT); the Zazie Productions contribution is within the item's indexed text (tracklist continues beyond the reviewed window).",82,very_high,2025,https://archive.org/details/experiments-on-the-witch-house,"Netlabel compilation; exact string confirmed by IA full-text index, specific track not yet enumerated - flagged for follow-up.",False,2026-09-05
ZP26-062,A,https://archive.org/details/sepsis-d-iaa-i3d-iai-i3d-i-ia-i3da-iia-i3di-ia-i3-d-ia-i3d-iia-i3di-ia-i3d,"Sepsis (glitch-script title) (Internet Archive item, opensource_movies)",Internet Archive,archive/film_item,verified_structured,Archive.org API (fetched 2026-09-05): item matches quoted 'Zazie Productions' full-text search; description: 'Sepsis (2024) is an audiovisual piece that captures the overstimulating nature of media...' (39 downloads). 'Sepsis' also appears as an exhibition piece on newmediartspace.info (in repo).,82,very_high,2024-04-11,https://archive.org/details/sepsis-d-iaa-i3d-iai-i3d-i-ia-i3da-iia-i3di-ia-i3-d-ia-i3d-iia-i3di-ia-i3d,2024 audiovisual work; same title as the 2024 New Media Arts Space exhibition piece (repo URL newmediartspace.info/exhibitions/2024_ripples/sepsis.html).,False,2026-09-05
ZP26-063,A,https://archive.org/details/ra-codename-the-rhizosigil,OBJECT #Δ-NEMEK-77/RA (Codename: THE RHIZOSIGIL) (Internet Archive zine item),Internet Archive,archive/zine_item,verified_structured,Archive.org API (fetched 2026-09-05): item matches quoted 'Zazie Productions' full-text search (zines collection); description is a long occult-fiction object-document (50 downloads).,82,very_high,2019-01-09,https://archive.org/details/ra-codename-the-rhizosigil,Zine artifact in the artist's 'OBJECT #Δ-NEMEK' series; exact string within item via full-text index.,False,2026-09-05
ZP26-064,A,https://archive.org/details/textual-exhumation-5-gnosis-of-the-null-horizon_202504,TEXTUAL EXHUMATION 5 GNOSIS OF THE NULL HORIZON (Internet Archive item),Internet Archive,archive/text_artifact_item,verified_structured,Archive.org API (fetched 2026-09-05): item matches quoted 'Zazie Productions' full-text search (community/emptyfiles collections).,82,very_high,2025,https://archive.org/details/textual-exhumation-5-gnosis-of-the-null-horizon_202504,Text-artifact in the 'Textual Exhumation' series; sister item ZP26-065.,False,2026-09-05
ZP26-065,A,https://archive.org/details/textual-exhumations-unicode,TEXTUAL EXHUMATIONS UNICODE (Internet Archive item),Internet Archive,archive/text_artifact_item,verified_structured,Archive.org API (fetched 2026-09-05): item matches quoted 'Zazie Productions' full-text search; description: 'TEXTUAL EXHUMATION #4: The Larynx-Vortex Sutra - A Glossolalic Manual...' (21 downloads).,82,very_high,,https://archive.org/details/textual-exhumations-unicode,Unicode text-artifact; part of the same series as ZP26-064.,False,2026-09-05
